score,year,make,model,trim,price,net_cost_8mo,accidents,one_owner,carfax_url,loss_private,loss_instant,expected_repairs,fees,miles,miles_at_sale,liquidity,expected_price,under_market,color,body,seller_type,dealer,city,source,reliability,complaints,recalls,first_seen,days_listed,price_drop,is_new,url,reliability_note
42.2,2018,Subaru,Impreza,2.0i Sport 4dr Hatchback AWD (2.0L 4cyl CVT),14844,7882,0,False,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=4S3GTAK62J3742834&partner=FRD_2,4336,6506,694,1549,102011,110011,0.6000000000000001,13303,-1541,White,hatchback,dealer,AutoNation Subaru Carlsbad,Carlsbad,auto.dev,46.9,150,,2026-09-20,4,0,False,https://bmwencinitas.com/used/Subaru/2018-Subaru-Impreza-a1701a22ac185fef39d0f00fa5b8b171.htm,
42.1,2016,Toyota,Prius,Two Eco 4dr Hatchback (1.8L 4cyl gas/electric hybrid CVT),15547,10667,1,False,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=JTDKARFU6G3501701&partner=FRD_2,6813,9399,657,1608,115997,123997,0.62,16190,643,White,hatchback,dealer,Temecula Valley Lexus,Temecula,auto.dev,77.8,179,,2026-09-19,5,563,False,https://www.carfax.com/vehicle/JTDKARFU6G3501701,"First year of Gen 4: windshield cracking, brake booster, hot-weather power loss"
42.1,2019,Toyota,C-HR,LE 4dr SUV (2.0L 4cyl CVT),18998,8454,0,False,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=JTNKHMBXXK1020025&partner=FRD_2,5308,7646,352,1898,55295,63295,0.75,18815,-183,Magnetic Gray Metallic,small_suv,dealer,CarMax Escondido,Escondido,auto.dev,66.9,107,,2026-09-20,4,1000,False,https://www.autolist.com/toyota-c+hr#vin=JTNKHMBXXK1020025,
42.1,2023,Kia,Forte,LX 4dr Sedan (2.0L 4cyl CVT),18080,8114,,False,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=3KPF24AD4PE549151&partner=FRD_2,5093,7314,300,1821,70470,78470,0.75,16497,-1583,White,sedan,dealer,Karz Plus-Escondido,Escondido,auto.dev,58.8,61,,2026-09-20,4,0,False,https://www.autolist.com/kia-forte#vin=3KPF24AD4PE549151,
42.1,2023,Hyundai,Kona,SEL 4dr SUV (2.0L 4cyl CVT),19113,8371,,False,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=KM8K62AB6PU062424&partner=FRD_2,5334,7687,233,1907,41160,49160,0.75,18399,-714,White,small_suv,dealer,Kearny Mesa Ford & Kia,San Diego,auto.dev,65.6,65,,2026-09-23,1,0,False,https://www.autolist.com/hyundai-kona#vin=KM8K62AB6PU062424,
42.1,2023,Nissan,Kicks,SV 4dr Hatchback (1.6L 4cyl CVT),17698,9514,1,True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=3N1CP5CV4PL553974&partner=FRD_2,6742,8653,245,1789,7328,15328,0.75,17820,122,Gray,hatchback,dealer,Driveline Used Cars of Murrieta,Murrieta,auto.dev,60.1,34,,2026-09-20,4,135,False,https://www.drivelineca.com/pre-owned-cars/detail/x/1493631,
42.0,2017,Toyota,Corolla,LE 4dr Sedan (1.8L 4cyl CVT),13995,8901,0,False,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=5YFBURHE2HP655506&partner=FRD_2,5012,7627,549,1478,117569,125569,0.46499999999999997,13608,-387,White,sedan,dealer,Prime Auto Imports,San Diego,auto.dev,90.0,189,,2026-09-23,1,0,False,https://www.carfax.com/vehicle/5YFBURHE2HP655506,
42.0,2017,Honda,Accord,EX-L V-6 4dr Sedan (3.5L 6cyl 6A),13995,9473,1,False,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=1HGCR3F83HA029470&partner=FRD_2,5357,7886,642,1478,133519,141519,0.46499999999999997,15354,1359,White,sedan,dealer,North County Auto,Oceanside,auto.dev,85.0,534,,2026-09-24,0,0,True,https://www.carfax.com/vehicle/1HGCR3F83HA029470,
42.0,2023,Volkswagen,Jetta,SE 4dr Sedan (1.5L 4cyl Turbo 8A),14885,9552,1,True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=3VW7M7BU8PM029665&partner=FRD_2,6434,8235,324,1552,96485,104485,0.6000000000000001,14688,-197,Gray,sedan,dealer,National City Volkswagen,National City,auto.dev,87.1,43,,2026-09-20,4,15,False,https://www.carfax.com/vehicle/3VW7M7BU8PM029665,
41.9,2022,Mazda,Mazda3,2.5 Turbo 4dr Sedan AWD (2.5L 4cyl Turbo 6A),16495,9047,1,True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=3MZBPBAY7NM310216&partner=FRD_2,6386,8155,267,1688,32983,40983,0.8,21106,4611,Black,sedan,dealer,Vanguard Auto Sales LLC,Lakeside,auto.dev,50.0,,,2026-09-20,4,0,False,https://www.vanguardautosales.net/pre-owned-cars/detail/x/1555331,
